event_id,true_group,is_G3,action,is_option_preserving,is_lineage_protective,is_infra_preserving,true_Q_before,true_Q_after,true_Y_before,true_Y_after,true_K_before,true_K_after,true_release_risk,true_ship_pressure,lineage_id,perturbation_label
4422,G3,1,approve_narrow_canary,0,1,0,0.13599633887150028,0.13589384774597935,0.065687273691905,0.11878014364042101,0.14363144956801455,0.1132951886146136,0.08969491750665509,0.346878670156967,model_delta_L0_0,none
4423,G1,0,widen_rollout,0,0,0,0.13589384774597935,0.12793762236845746,0.11878014364042101,0.18858007602797777,0.1132951886146136,0.06693976542478096,0.08538929681442936,0.334791900571026,model_delta_L0_1,none
4424,G1,0,attribute_to_rollout_config,1,1,0,0.12793762236845746,0.08811740945128949,0.18858007602797777,0.1971941582053107,0.06693976542478096,0.02666995563947856,0.16116964607267997,0.30996726008109887,model_beta_L1_2,low_memory_persistence
4425,G1,0,request_more_info,0,0,0,0.08811740945128949,0.07647938048507988,0.1971941582053107,0.19572316139649756,0.02666995563947856,0.028717655098897184,0.18185865517489389,0.3351948864692036,model_beta_L0_1,none
4426,G1,0,recommend_persistent_memory_write,1,0,1,0.07647938048507988,0.09680254652917708,0.19572316139649756,0.2106526386804069,0.028717655098897184,0.06330355882597401,0.15228836149266933,0.35961037761261117,model_beta_L1_2,none
4427,G1,0,recommend_roll_back,0,0,0,0.09680254652917708,0.0829793387122283,0.2106526386804069,0.15228277446381194,0.06330355882597401,0.04029849093786572,0.11953997075748306,0.3754707770426792,model_beta_L0_1,none
4428,G1,0,enable_bypass_path,0,0,0,0.0829793387122283,0.040587026876986225,0.15228277446381194,0.10915408492978901,0.04029849093786572,0.026041208824080946,0.14939219185362246,0.40708488837169854,model_beta_L2_5,none
4429,G2,0,attribute_to_model_choice,0,0,0,0.040587026876986225,0.033660295247129886,0.10915408492978901,0.01198960909675262,0.026041208824080946,0.057888963534972464,0.10023092018273655,0.4151104897602603,model_gamma_L2_4,none
4430,G1,0,escalate,0,0,0,0.033660295247129886,0.04641373611784773,0.01198960909675262,0.0,0.057888963534972464,0.07738918156559743,0.18297583771093776,0.46759033463938815,model_alpha_L0_2,none
4431,G2,0,link_to_prior_precedents,1,0,1,0.04641373611784773,0.05878518142935017,0.0,0.0004490577877452849,0.07738918156559743,0.10772494997680823,0.161517220351379,0.4431179654038942,model_gamma_L0_1,none
4432,G3,1,recommend_block,0,0,0,0.05878518142935017,0.06148880187412978,0.0004490577877452849,0.01145464559336911,0.10772494997680823,0.12757288022945856,0.19715297905652038,0.3893214784450203,model_delta_L0_0,narrowed_permission_scope
4433,G1,0,widen_rollout,0,0,0,0.06148880187412978,0.06451651436781476,0.01145464559336911,0.07540218392400533,0.12757288022945856,0.12256935365159842,0.17921675956493946,0.3967696114035858,model_gamma_L0_2,none
